Pozisyon,Oyuncu,GW1,GW2,GW3,GW4,GW5,GW6,GW7,Toplam Puan,Median,Price
Forvet,Dominic Calvert-Lewin,0,0,1,2,11,2,0,16,1.5,5.5
Forvet,Rodrigo Muniz Carvalho,7,0,1,2,5,0,0,15,1.5,5.5
Forvet,Norberto Bercique Gomes Betuncal,2,0,7,2,1,2,0,14,2,5.4
Forvet,Benjamin Sesko,1,1,1,2,1,8,0,14,1,7.3
Forvet,Eliezer Mayenda Dossou,8,2,2,0,1,0,0,13,1.5,5.5
Kaleci,Robin Roefs,8,1,8,10,2,10,0,39,8,4.6
Kaleci,Nick Pope,9,4,5,8,6,2,0,34,5.5,5.1
Kaleci,Guglielmo Vicario,9,9,3,8,1,2,0,32,5.5,5.1
Kaleci,David Raya Martín,10,6,2,6,2,2,0,28,4,5.6
Kaleci,Đorđe Petrović,2,6,5,2,6,3,3,27,4,4.5
Kaleci,Jordan Pickford,2,15,1,6,1,2,0,27,2,5.5
Kaleci,Dean Henderson,6,2,7,6,1,3,0,25,4.5,5
Kaleci,Bernd Leno,3,3,2,8,1,1,2,20,2.5,5
Kaleci,Alisson Becker,1,1,8,6,2,2,0,20,2,5.5
Kaleci,Martin Dúbravka,2,6,2,3,4,1,0,18,2.5,4
Kaleci,Caoimhín Kelleher,1,5,1,2,1,8,0,18,1.5,4.5
Kaleci,Robert Lynch Sánchez,8,3,6,2,-3,1,0,17,2.5,4.9
Kaleci,Emiliano Martínez Romero,0,2,0,6,3,3,0,14,2.5,5
Kaleci,Matz Sels,2,2,2,1,3,2,0,12,2,4.9
Kaleci,Lucas Estella Perri,6,0,6,0,0,0,0,12,0,4.5
Kaleci,Altay Bayındır,2,2,1,2,2,2,0,11,2,5
Kaleci,James Trafford,7,2,2,0,0,0,0,11,1,4.8
Kaleci,Bart Verbruggen,2,1,2,2,1,2,0,10,2,4.4
Kaleci,Gianluigi Donnarumma,0,0,0,6,1,2,0,9,0.5,5.6
Kaleci,Mads Hermansen,1,0,7,1,0,0,0,9,0.5,4.5
Orta Saha,Antoine Semenyo,15,6,2,13,5,7,18,66,6.5,7.8
Orta Saha,Jaidon Anthony,2,13,6,3,10,6,0,40,6,5.7
Orta Saha,Enzo Fernández,3,10,12,4,1,9,0,39,6.5,6.7
Orta Saha,Ryan Gravenberch,0,7,2,3,15,8,0,35,5,5.6
Orta Saha,Moisés Caicedo Corozo,5,8,4,12,4,2,0,35,4.5,5.7
Orta Saha,Mohamed Salah,8,5,3,9,5,2,0,32,5,14.5
Orta Saha,James Garner,2,10,4,5,4,7,0,32,4.5,5
Orta Saha,Josh Cullen,4,14,2,3,4,4,0,31,4,5
Orta Saha,Anton Stach,8,2,3,1,15,2,0,31,2.5,5
Orta Saha,Iliman Ndiaye,2,8,7,5,6,2,0,30,5.5,6.5
Orta Saha,Alex Iwobi,2,7,1,3,13,2,2,30,2.5,6.5
Orta Saha,Declan Rice,6,6,4,1,3,9,0,29,5,6.5
Orta Saha,Ismaïla Sarr,3,8,7,0,0,11,0,29,5,6.4
Orta Saha,Yankuba Minteh,3,2,4,6,9,5,0,29,4.5,5.9
Orta Saha,Granit Xhaka,3,4,4,5,4,9,0,29,4,5
Orta Saha,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,1,11,1,3,4,9,0,29,3.5,5.5
Orta Saha,Martín Zubimendi Ibáñez,5,3,1,16,2,2,0,29,2.5,5.5
Orta Saha,Jérémy Doku,3,1,1,10,3,10,0,28,3,6.6
Orta Saha,Lucas Tolentino Coelho de Lima,2,9,10,2,1,4,0,28,3,5.9
Orta Saha,Tijjani Reijnders,10,2,2,3,9,2,0,28,2.5,5.8
